pathway	E1	E2	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S11	S12	S13	S14	S2	S3	S4	S5	S6	S7	S8	S9
COBALSYN-PWY	1266.076683574589	573.9936685838807	2042.268601041051	2758.389325664664	1865.6331461791706	181.37782824328426	2816.3475909205627	5360.7748748644235	939.1899385736526	788.2285100207188	1739.1697854142674	2866.1576166054533	3478.649395878124	2984.1420751529704	338.2629950046195	298.41894736262776	2470.48511367941	2663.687330401661	415.07266295154324	732.4531054721938	1828.602597091967	651.3640038332652	1436.3917108243143	688.7689410010697	668.1656455712871	872.4281700552959	68.65589906534491	431.84691022105665	1810.5911683217196	719.8957625858525	807.5966991181115	1299.7981206788963	435.02570721797
CODH-PWY	50.293849350215645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.538367852841965	0.0	0.0	0.0	0.0
COLANSYN-PWY	2351.360193605537	1000.8889692840264	1040.6729387566754	1697.0571074766501	1620.4659218074894	22.6275693497047	270.4254842532275	156.22193452558997	163.49620336190316	43.856848504220366	1199.1315057343616	339.56739964211573	431.44283072726745	653.4488973899926	141.99575305100646	221.0546421798854	1275.4625886647364	536.1401402717728	808.7976790411174	710.9067554377026	924.2072276764612	789.5595169648726	659.1874933104159	772.9989096059794	1003.371862552858	1050.6091551176535	174.08523727606484	687.7630009956672	2115.469812025794	601.4907252245363	825.6290839016098	1212.4804461518468	1034.8675655395211
COMPLETE-ARO-PWY	12012.436092462447	12401.217609361373	6530.567490696239	6926.28760769868	8718.043760938392	20010.15667712735	21804.79433004252	12224.123714801299	11923.906697403856	17757.25662195918	7050.057176802231	23117.440845862882	13502.7144007118	18324.851543275694	11880.265823910398	6313.677466950446	5914.312224708201	12171.939084364149	7366.747453147512	9571.88804824713	6431.262621607855	9931.016867366165	8306.078483990193	6361.048779600015	13820.34220660118	8657.847412707415	2983.9828990719584	9432.605613490337	8407.84466426726	12947.530960804104	7934.138860486874	5253.278519754796	5082.684266596779
CRNFORCAT-PWY	62.103190301968915	0.0	3.409320606400898	0.0	0.0	0.0	0.0	7.105263157894736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.068885365021378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.33842381416932	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	9963.307266902884	3605.9927225342017	4669.812283738033	5246.029384734052	6048.041277120631	18552.06088873247	19959.516272471003	10824.839746580323	11082.437131669327	16248.599086237562	6231.940176048357	21111.765807283722	12237.3737481155	16879.40510454574	11112.361583169426	5750.192756399557	5132.446199690845	10990.03752184176	6663.373224904102	8773.490458881846	4995.818460521784	7329.190508719529	6911.074726941479	5545.664547312994	8038.257638687183	7840.5129354042265	2774.231111363022	8506.626010592467	7270.780380622862	7468.25989407724	6844.156212442016	4510.487894565359	4309.022814163644
DARABCATK12-PWY	886.5735477809881	285.5170589640851	566.2774387411768	751.9468378605679	690.5594582259547	1240.4029969356563	2249.948897686343	944.5087763028121	1152.949123119929	3480.5808491231674	1100.9015227880411	4686.772138630839	3208.1249702120695	2717.249939386829	3273.6921181625103	657.3252098894465	631.1724796206545	1703.2276474168966	972.0954585188402	501.4716006146684	353.79241569179277	474.20226326391537	549.2421390962975	389.66509882421394	638.5294300713956	636.8278617378461	78.97697018638112	255.18047574060117	708.2837304203696	556.1954393997146	344.5104194536891	255.13142654350594	509.7905902275274
DENITRIFICATION-PWY	3187.459358657901	381.9535353962328	1852.2498328004763	1549.5091599827201	1894.2550098329118	8481.708685263047	15385.967137994681	3583.5504528206625	8357.182461691471	12503.18525106175	4277.239588624729	16705.290176678107	7286.629403398796	11236.221943578947	9299.170345570044	3273.284384265106	2405.678227700174	6766.595854975147	3009.341794099873	4228.605007806038	1923.2450844130085	1873.082564090487	3446.877735581823	3133.095313134284	2369.3207946890107	4981.815749031423	1987.9864291212293	4994.7206610451885	3317.552477470253	1530.1777554391167	3984.9385516489187	2750.1169181499677	1854.845419981285
DENOVOPURINE2-PWY	11133.010956176508	11067.542213143002	5466.837773253389	5281.517995793896	7348.267016260413	16504.79562031355	19811.823479999253	10917.046212656942	11322.499120027376	16517.479711180888	6912.103565218403	21960.407721044987	12108.438679715338	17028.553385464034	11555.652724333368	5840.811965992638	5394.500608552357	11015.109000573322	7069.030591284095	8893.181556065767	5612.817841592556	8998.54695930084	7454.549546524449	5769.901601562954	12428.323138245074	7921.853410292829	2750.825659169157	8616.614006303203	7415.681776319378	12008.617198065553	7062.478176270532	4684.902983769303	4488.003843046362
DHGLUCONATE-PYR-CAT-PWY	69.43377167775078	0.0	2.2492322456813816	4.540310314789038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.941730363307525	0.0	49.69085226627196	5.450842924031574	19.01040630954869	8.106421287459236	5.103625484292306	6.666666666666668	21.97301538399719	0.0	20.748275729202792	228.274890408103	16.436805001196245	7.957105459350788	15.044155782004708	8.48459276141665
DTDPRHAMSYN-PWY	5088.645730259601	1461.9724020146966	2862.079104031109	3185.0441543588863	4630.125252964304	18756.30015590897	19141.547336823103	10866.814746436132	9856.042225908714	17370.24601094288	7866.662748628134	20892.730352141156	11653.051579649551	16282.999435876769	11364.196338134521	4196.720832316972	5400.847338017901	11330.83727730041	7187.986950613955	6130.502370452564	3774.091989763999	3327.2781665090256	4857.9732619072865	4237.026530864048	3901.5360196284637	6996.608952047496	2143.2412239530317	5601.907157995209	5812.967801623341	2418.2013215870556	4715.797742406974	3907.996314599774	2934.035197023076
ECASYN-PWY	28.770568386628803	0.0	2.9499116059891883	1.4320013065092148	0.0	0.0	47.5307565064251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.20111548224728	0.0	18.73203193833479	31.323488470359447	10.80352695684324	9.154036887929935	5.844193632328361	0.0	17.12609025155847	0.0	10.466543025089582	55.67070297384742	15.751473624175345	113.21896701617223	15.050921274925987	9.19693959017983
FAO-PWY	997.8972281756794	0.0	35.47151201295177	48.59266883471752	20.161721331729453	0.0	68.05610028267513	70.42362520359241	7.074969679691917	46.317831416656134	1.9711623537700536	0.0	2.3998715701882296	55.48534702711522	0.0	16.161785930022074	0.0	376.8308028556764	0.0	272.3273227162849	258.46376641367806	114.51820884355386	113.86188487976553	82.26983398908082	44.055801774765726	250.81578028582487	30.806236080178174	265.0855084151007	1505.4357204970481	147.02008021915282	286.44724929763066	209.77419411356402	86.79699556706736
FERMENTATION-PWY	8981.601979955369	2505.4639561752247	4515.398477640347	4473.051642029821	5822.461878761617	17063.94451141035	22201.725524736674	9770.985141457375	13127.463914089232	17884.63707121358	6003.333301918825	24174.13353263247	12124.973278107742	18204.35851119241	12893.49136076214	5637.068137902661	4358.769455873574	10988.934226715932	6419.968888422143	8516.256325160924	4693.692849154949	6039.216921553115	7231.573124110596	5966.0235136363945	6565.250746950144	8671.043406577724	3062.6840085223384	8760.305270760115	7481.7517363164025	4831.041172332271	6988.8783662352025	5074.188453498303	4046.624678635295
FOLSYN-PWY	11157.822141589953	11490.8876369466	5521.193552023714	5330.056977015497	7117.904077878591	18840.84103908662	19112.98828977232	11008.254624015504	11004.321371475595	15596.963909664615	6097.9481749316	19711.028257197053	11426.666383210752	16219.90523482747	10181.64837694027	5710.189944261969	5104.037406818619	10848.179341946998	6165.714922133338	9183.340811982534	5767.710852608169	9185.30496967421	7450.987572375505	5725.3736140174615	12641.997035326947	7827.192669862074	2734.1677097234424	8606.545389288509	7471.0357318457645	12300.712734530804	7044.243223403885	4749.374687153609	4528.043987818093
FUC-RHAMCAT-PWY	363.8954473935375	171.13132352882948	176.12639850490146	401.92128047487864	166.45955462769547	0.0	310.1155977635928	0.0	0.0	106.5785267782603	268.1237809436239	1137.1925704959613	1903.3869844171666	342.39394890608	328.963605024902	0.0	103.09073883598786	137.12518630162106	508.07133377666395	71.53014341775767	80.93614715592906	83.48093805667979	40.27091521932342	90.44277791943749	209.0575098216236	155.32861366161683	6.742555598778366	103.0939215286145	379.31859760756424	30.26080284909465	174.2218007653334	227.78147008917549	71.81964261662205
FUCCAT-PWY	727.3533327489047	278.2913003259671	523.0449135643711	776.4015584191103	1036.1791461238736	927.6128485856436	1762.6412284228265	773.4960707233462	898.4878989483055	2883.0803475969933	2739.4867069413012	3901.176340036357	3152.063703677386	2243.7626357165254	2830.1400307004665	518.1048355578715	605.1153079945406	1405.89058148149	2746.72764033279	411.3624392436772	288.8896394991025	384.41764472605433	471.9548923273295	308.69561695042944	564.1848387038257	482.1101340178193	56.33072516103845	188.04409419609883	513.435875763318	515.1171261221398	246.70477016377407	197.96301078049294	415.7356199398158
