"ASV","s.cn_control","s.cn_ecigarettes","s.cn_tobacco","s.us_control","s.us_ecigarettes","s.us_tobacco","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"517d3bc548fd07325c3ff50e823751ec",0,0,0,1,1,0,19,0.603022689155527,0.03,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Bulleidia",NA
"1719b5b8f753472e4f4d58ec01a1693c",0,0,0,0,0,1,6,0.612372435695794,0.045,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Rodentibacter",NA
"7d9c7ec3d7b43d3944aea938e9feb717",0,0,0,1,0,0,4,0.866932407678827,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__[Eubacterium]_yurii_group",NA
"a0592d488c7b9be5780b62531b0eaa5a",0,0,0,1,0,0,4,0.701523810504366,0.015,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001",NA
"2d24e0a2081d79a41e37cd978fd2d5bd",0,0,0,1,0,1,20,0.654653670707977,0.025,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001",NA
"1e607a3ed49f03bb014e347495d22357",0,0,0,0,1,1,21,0.617007255056592,0.045,"d__Bacteria","p__Bacillota","c__Bacilli","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma",NA
"d5512f5ca0b2b8d154405b87ec3c3e13",0,0,0,0,1,0,5,0.632455532033676,0.015,"d__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Aeriscardovia",NA
"f763108e7b770c7a263b24668aba8b2b",1,1,1,0,0,0,22,0.866398818065908,0.005,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Neisseriaceae",NA,NA
"104aeb6d430726243419fa82199c2e4d",1,0,0,0,0,0,1,0.878074006584095,0.015,"d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Abiotrophia",NA
"a1dfc39643e5e628bf4be1aee433ce90",1,0,0,0,0,0,1,0.871924444106056,0.005,"d__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Arachnia",NA
"f55e6f0203460ecfb665c9dbc579b714",0,1,1,1,1,1,62,0.958322111573608,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_UCG-014","f__Incertae_Sedis","g__Incertae_Sedis",NA
"78dbce068c704844f3ff89ade16bd833",0,1,1,0,0,0,12,0.847051566591672,0.005,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter",NA
"5681a34520ca44f06bb36f13beb94844",0,1,1,0,0,0,12,0.955997804873052,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Catonella",NA
"ccb27a8f85b17af2077dd0af0423a697",0,1,1,0,0,1,34,0.827782251580764,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia_vadinBB60_group","f__Incertae_Sedis","g__Incertae_Sedis",NA
"731b491457472e36422564468f57fa8c",0,1,1,0,0,0,12,0.794719414239026,0.01,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae",NA,NA
"f4145532e866d175216ac62b605e3618",0,1,1,0,1,1,54,0.816883149610605,0.025,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Incertae_Sedis",NA
"c21328df92b2a6069b1721d8e6939ba6",0,1,1,0,0,1,34,0.789753506511555,0.035,"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__TM7x",NA
"630c41fffa2f10f773ae89a296d54ceb",0,0,1,0,0,0,3,0.820102231872016,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus",NA
"fbb9a5204db2c6d1d02049da6ef6b5ce",0,0,1,0,1,0,17,0.845054928944414,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus",NA
"b9e0b36ba4594531392a109b49b1c786",0,1,1,0,0,0,12,0.73815119337401,0.04,"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__Candidatus_Saccharimonas",NA
"5cd210e03be3ebee6ebb810ad61ae603",0,0,1,0,0,0,3,0.654653670707977,0.035,"d__Bacteria","p__Bacillota","c__Syntrophomonadia","o__Syntrophomonadales","f__Syntrophomonadaceae","g__Pelospora",NA
"1e0be865b8accd4529f7974e98460887",0,0,1,0,0,0,3,0.597614304667197,0.015,"d__Bacteria","p__Elusimicrobiota","c__Elusimicrobia","o__Lineage_IV","f__Incertae_Sedis","g__Incertae_Sedis",NA
"dd4e64dc3906102418bf25de4384220f",0,1,0,0,0,0,2,0.692616767233181,0.015,"d__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Mobiluncus",NA
"b1f4bc4ac33aa9512721582b271387f3",0,1,0,0,0,0,2,0.632455532033676,0.015,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__F082","g__Incertae_Sedis",NA
