normalized	E1	E2	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S11	S12	S13	S14	S2	S3	S4	S5	S6	S7	S8	S9
0cf1c9048cc9bb21c1eff5c10fb3e9ca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d4d7920c785df090cd39acf347f38ad	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0e2463e354d94ffd3cec9f443dd03533	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f82b6f0d123fb76e1bec8ac6789d9d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f87b0b72d323f1f38feac7c9dff3b2f	0.0	0.0	44.5	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5
0f9f7564e434b782665782db7a27881a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
0fadd51ab7fdf5175c81880251ce4649	0.0	0.0	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	2.5	0.0	0.0	0.0	0.0	2.25	0.0	1.75	3.25
0fcb81e33f158d5eadad0e02f62eb51b	0.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102b4f8cd85eae8a259198e28bec8e8d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
102c2a7e35054842305d377f20eada37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	2.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0
10357bdef3821fc4548d71daa576c0cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0
104aeb6d430726243419fa82199c2e4d	61.0	6.0	0.0	0.0	2.0	22.0	43.0	6.0	767.0	114.0	54.0	133.0	0.0	302.0	13.0	41.0	2.0	48.0	0.0	47.0	17.0	92.0	4.0	7.0	0.0	42.0	0.0	16.0	6.0	175.0	0.0	6.0	10.0
111f81474256619d256817a85b60893a	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1135f970f7149d4f5bd33ba4de4c0f0d	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	13.0	0.0	0.0	4.0
1176635a6029b30b5438a94974e14111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11d07212f59fb10e4151c3f0dd960abb	0.0	4.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25
11d43e3d35e1b7ff7f4618afeea98ae3	564.0	0.0	0.0	16.0	4.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	4.0	0.0	0.0	72.0	2.0	0.0	0.0	4.0
11e3ecc999422b9e2f500b6d6ef74e7d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
120d634201f3032e1031204ebe75a1c0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123249ae7edc1a5664e2a52fb41d171c	893.0	0.0	0.0	0.0	0.0	6831.0	0.0	958.0	2359.0	7030.0	591.0	10788.0	1326.0	7205.0	6001.0	1575.0	234.0	2533.0	157.0	242.0	0.0	97.0	47.0	39.0	76.0	2024.0	737.0	0.0	838.0	57.0	0.0	0.0	703.0
